pemda,nama_pemda,jenis_pemda,risiko_defisit,risiko_mandatory_spending,risiko_keselarasan,cluster
MAYBRAT,KAB. MAYBRAT,KABUPATEN,100.67972058974475,0.0,16.47527204001736,1
MELAWI,KAB. MELAWI,KABUPATEN,0.0,0.0,21.02757499667885,1
MEMPAWAH,KAB. MEMPAWAH,KABUPATEN,105.75990901644722,12.400517627060736,27.330738418249283,4
MERANGIN,KAB. MERANGIN,KABUPATEN,98.22231899263605,7.259372777602715,23.062635495981798,1
MERAUKE,KAB. MERAUKE,KABUPATEN,99.66734411159494,7.19776155514906,17.657898328462032,1
MESUJI,KAB. MESUJI,KABUPATEN,107.93177164571908,11.025640211608746,18.981964523565566,1
MIMIKA,KAB. MIMIKA,KABUPATEN,107.05627666533913,5.532809440321926,11.371975377991486,1
MINAHASA,KAB. MINAHASA,KABUPATEN,105.07558409471312,9.458058306956044,25.608439302692233,4
MINAHASA SELATAN,KAB. MINAHASA SELATAN,KABUPATEN,99.83641319984856,6.098892390309103,24.909329168471203,1
MINAHASA TENGGARA,KAB. MINAHASA TENGGARA,KABUPATEN,98.52550963659242,7.301935782488989,20.20417474469258,1
MINAHASA UTARA,KAB. MINAHASA UTARA,KABUPATEN,100.20128623490156,9.324017543109537,23.868761160869035,1
MOJOKERTO,KAB. MOJOKERTO,KABUPATEN,104.2012422070843,6.421535162748842,18.253469304456353,1
